shop_name,shop_id,shops_english,town,region
РостовНаДону ТЦ "Мега",41,RostovNaDonu TZ "Mega",RostovNaDonu,rostov
СПб ТК "Невский Центр",42,SPb TK "Nevskij Zentr",SPb,Saint Peterburg
СПб ТК "Сенная",43,SPb TK "Sennaa",SPb,Saint Peterburg
Самара ТЦ "Мелодия",44,Samara TZ "Melodia",Samara,samara
Самара ТЦ "ПаркХаус",45,Samara TZ "ParkHaus",Samara,samara
Сергиев Посад ТЦ "7Я",46,Sergiev Posad TZ "7A",Sergiev,moscow
Сургут ТРЦ "Сити Молл",47,Surgut TRZ "Siti Moll",Surgut,Khanty-Mansi
Томск ТРЦ "Изумрудный Город",48,Tomsk TRZ "Izumrudnyj Gorod",Tomsk,Tomsk
Тюмень ТРЦ "Кристалл",49,Tumen_ TRZ "Kristall",Tumen_,Tyumen
Тюмень ТЦ "Гудвин",50,Tumen_ TZ "Gudvin",Tumen_,tyumen
Тюмень ТЦ "Зеленый Берег",51,Tumen_ TZ "Zelenyj Bereg",Tumen_,tyumen
Уфа ТК "Центральный",52,Ufa TK "Zentral_nyj",Ufa,Bashkortostan
Уфа ТЦ "Семья" 2,53,Ufa TZ "Sem_a" 2,Ufa,Bashkortostan
Химки ТЦ "Мега",54,Himki TZ "Mega",Himki,moscow
Цифровой склад 1С-Онлайн,55,Zifrovoj sklad 1S-Onlajn,Zifrovoj,zifrovoj
Чехов ТРЦ "Карнавал",56,Cehov TRZ "Karnaval",Cehov,moscow
Якутск Орджоникидзе, 56,57,Akutsk Ordjonikidze, 56,Akutsk,sakha
Якутск ТЦ "Центральный",58,Akutsk TZ "Zentral_nyj",Akutsk,sakha
Ярославль ТЦ "Альтаир",59,Aroslavl_ TZ "Al_tair",Aroslavl_,yaroslavl
